Angle	T 1	T 2	T 3	T 4	T 5	T 6								Rotations per degree for 									
10	0,706812320328542	0,706812320328542	0,706812320328542	0,736262833675565	0,706812320328542	0,706812320328542																	
9	0,706812320328542	0,736262833675565	0,706812320328542	0,736262833675565	0,736262833675565	0,736262833675565										Rotation per degree (Trails)							
8	0,736262833675565	0,736262833675565	0,736262833675565	0,706812320328542	0,706812320328542	0,736262833675565									Angle	1	2	3	4	5	6	mean	std
7	0,736262833675565	0,706812320328542	0,736262833675565	0,706812320328542	0,736262833675565	0,736262833675565									10	12	12	12	12,5	12	12	12,0833	0,2041
6	0,736262833675565	0,706812320328542	0,736262833675565	0,706812320328542	0,736262833675565	0,736262833675565									9	12	12,5	12	12,5	12,5	12,5	12,3333	0,2582
5	0,706812320328542	0,765713347022587	0,706812320328542	0,765713347022587	0,765713347022587	0,706812320328542									8	12,5	12,5	12,5	12	12	12,5	12,3333	0,2582
4	0,765713347022587	0,765713347022587	0,765713347022587	0,736262833675565	0,736262833675565	0,736262833675565									7	12,5	12	12,5	12	12,5	12,5	12,3333	0,2582
3	0,765713347022587	0,706812320328542	0,765713347022587	0,706812320328542	0,706812320328542	0,706812320328542									6	12,5	12	12,5	12	12,5	12,5	12,3333	0,2582
2	0,706812320328542	0,765713347022587	0,706812320328542	0,736262833675565	0,736262833675565	0,736262833675565									5	12	13	12	13	13	12	12,5000	0,5477
1	0,942416427104723	0,765713347022587	0,79516386036961	0,765713347022587	0,765713347022587	0,765713347022587									4	13	13	13	12,5	12,5	12,5	12,7500	0,2739
0	0	0	0	0	0	0									3	13	12	13	12	12	12	12,3333	0,5164
-1	1,00131745379877	0,824614373716632	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961									2	12	13	12	12,5	12,5	12,5	12,4167	0,3764
-2	0,79516386036961	0,79516386036961	0,765713347022587	0,79516386036961	0,79516386036961	0,79516386036961									1	16	13	13,5	13	13	13	13,5833	1,2007
-3	0,79516386036961	0,79516386036961	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587								Starting point	0								
-4	0,79516386036961	0,79516386036961	0,765713347022587	0,79516386036961	0,79516386036961	0,79516386036961									-1	17	14	14	13,5	14	13,5	14,3333	1,3292
-5	0,765713347022587	0,765713347022587	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961									-2	13,5	13,5	13	13,5	13,5	13,5	13,4167	0,2041
-6	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961									-3	13,5	13,5	13,5	13	13,5	13	13,3333	0,2582
-7	0,79516386036961	0,79516386036961	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587									-4	13,5	13,5	13	13,5	13,5	13,5	13,4167	0,2041
-8	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587									-5	13	13	13	13,5	13	13,5	13,1667	0,2582
-9	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961									-6	13	13,5	13	13,5	13	13,5	13,2500	0,2739
-10	0,79516386036961	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961	0,824614373716632									-7	13,5	13,5	13,5	13	13,5	13	13,3333	0,2582
-11	0,765713347022587	0,765713347022587	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961									-8	13,5	13	13,5	13	13,5	13	13,2500	0,2739
-12	0,79516386036961	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961	0,824614373716632									-9	14	13,5	14	13,5	14	13,5	13,7500	0,2739
-13	0,824614373716632	0,824614373716632	0,824614373716632	0,824614373716632	0,765713347022587	0,824614373716632									-10	13,5	14	13,5	14	13,5	14	13,7500	0,2739
-14	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961									-11	13	13	13	13,5	13	13,5	13,1667	0,2582
-15	0,79516386036961	0,79516386036961	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587									-12	13,5	14	13,5	14	13,5	14	13,7500	0,2739
-16	0,79516386036961	0,79516386036961	0,765713347022587	0,79516386036961	0,79516386036961	0,79516386036961									-13	14	14	14	14	13	14	13,8333	0,4082
-17	0,824614373716632	0,824614373716632	0,824614373716632	0,824614373716632	0,79516386036961	0,824614373716632									-14	14	13,5	14	13,5	14	13,5	13,7500	0,2739
-18	0,824614373716632	0,824614373716632	0,79516386036961	0,824614373716632	0,824614373716632	0,824614373716632									-15	13,5	13,5	13,5	13	13,5	13	13,3333	0,2582
-19	0,824614373716632	0,824614373716632	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961									-16	13,5	13,5	13	13,5	13,5	13,5	13,4167	0,2041
-20	0,824614373716632	0,824614373716632	0,824614373716632	0,824614373716632	0,79516386036961	0,824614373716632									-17	14	14	14	14	13,5	14	13,9167	0,2041
-21	0,765713347022587	0,79516386036961	0,79516386036961	0,79516386036961	0,765713347022587	0,79516386036961									-18	14	14	13,5	14	14	14	13,9167	0,2041
-22	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961	0,824614373716632	0,79516386036961									-19	14	14	14	13,5	14	13,5	13,8333	0,2582
-23	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961									-20	14	14	14	14	13,5	14	13,9167	0,2041
-24	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587	0,79516386036961	0,765713347022587									-21	13	13,5	13,5	13,5	13	13,5	13,3333	0,2582
-25	0,79516386036961	0,79516386036961	0,824614373716632	0,79516386036961	0,79516386036961	0,79516386036961									-22	14	13,5	14	13,5	14	13,5	13,7500	0,2739
															-23	13	13,5	13	13,5	13	13,5	13,2500	0,2739
															-24	13,5	13	13,5	13	13,5	13	13,2500	0,2739
															-25	13,5	13,5	14	13,5	13,5	13,5	13,5833	0,2041
																							
																0,0769230769230769			13,5277777777778				
																							
																			0,0589010266940452				
